CreditScore,Age,Balance,NumOfProducts,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,IsActiveMember_1,TenureOverAge,BalanceOverSalary,Credit_Age_Ratio,Balance_Per_Product,Active_Monetary_Value,Has_Balance,Age_Group,Credit_Score_Tier,Geo_Balance_Mean,Balance_Rel_Geo
619,42,0.0,1,101348.88,1,False,False,False,True,0.047619047619047616,0.0,14.738095238095237,0.0,0.0,0,1,1,62001.87311440395,0.0
608,41,83807.86,1,112542.58,0,False,True,False,True,0.024390243902439025,0.7446769036217226,14.829268292682928,83807.86,83807.86,1,1,1,62001.87311440395,1.3516988405392256
502,42,159660.8,3,113931.57,1,False,False,False,False,0.19047619047619047,1.4013745268322026,11.952380952380953,53220.26666666666,0.0,1,1,0,62001.87311440395,2.575096395965309
699,39,0.0,2,93826.63,0,False,False,False,False,0.02564102564102564,0.0,17.923076923076923,0.0,0.0,0,1,2,62001.87311440395,0.0
850,43,125510.82,1,79084.1,0,False,True,False,True,0.046511627906976744,1.5870550464631954,19.767441860465116,125510.82,125510.82,1,1,3,62001.87311440395,2.0243069071221655
645,44,113755.78,2,149756.71,1,False,True,True,False,0.18181818181818182,0.7596038935417319,14.659090909090908,56877.89,0.0,1,1,1,62001.87311440395,1.8347152156210076
822,50,0.0,2,10062.8,0,False,False,True,True,0.14,0.0,16.44,0.0,0.0,0,2,3,62001.87311440395,0.0
376,29,115046.74,4,119346.88,1,True,False,False,False,0.13793103448275862,0.9639693974404694,12.96551724137931,28761.685,0.0,1,0,0,119730.1161339179,0.9608838921639435
501,44,142051.07,2,74940.5,0,False,False,True,True,0.09090909090909091,1.8955180443151567,11.386363636363637,71025.535,142051.07,1,1,0,62001.87311440395,2.291077073395698
684,27,134603.88,1,71725.73,0,False,False,True,True,0.07407407407407407,1.876647055387237,25.333333333333332,134603.88,134603.88,1,0,2,62001.87311440395,2.170964734430411
528,31,102016.72,2,80181.12,0,False,False,True,False,0.1935483870967742,1.2723284483928388,17.032258064516128,51008.36,0.0,1,1,0,62001.87311440395,1.6453812582687928
497,24,0.0,2,76390.01,0,False,True,True,False,0.125,0.0,20.708333333333332,0.0,0.0,0,0,0,62001.87311440395,0.0
476,34,0.0,2,26260.98,0,False,False,False,False,0.29411764705882354,0.0,14.0,0.0,0.0,0,1,0,62001.87311440395,0.0
549,25,0.0,2,190857.79,0,False,False,False,False,0.2,0.0,21.96,0.0,0.0,0,0,0,62001.87311440395,0.0
635,35,0.0,2,65951.65,0,False,True,False,True,0.2,0.0,18.142857142857142,0.0,0.0,0,1,1,62001.87311440395,0.0
616,45,143129.41,2,64327.26,0,True,False,True,True,0.06666666666666667,2.2250195329320728,13.688888888888888,71564.705,143129.41,1,1,1,119730.1161339179,1.1954336521306808
653,58,132602.88,1,5097.67,1,True,False,True,False,0.017241379310344827,26.01244882465911,11.258620689655173,132602.88,0.0,1,2,2,119730.1161339179,1.1075148365485918
549,24,0.0,2,14406.41,0,False,True,False,True,0.375,0.0,22.875,0.0,0.0,0,0,0,62001.87311440395,0.0
587,45,0.0,1,158684.81,0,False,True,True,False,0.13333333333333333,0.0,13.044444444444444,0.0,0.0,0,1,1,62001.87311440395,0.0
726,24,0.0,2,54724.03,0,False,False,False,True,0.25,0.0,30.25,0.0,0.0,0,0,2,62001.87311440395,0.0
732,41,0.0,2,170886.17,0,False,False,True,True,0.1951219512195122,0.0,17.853658536585368,0.0,0.0,0,1,2,62001.87311440395,0.0
636,32,0.0,2,138555.46,0,False,True,False,False,0.25,0.0,19.875,0.0,0.0,0,1,1,62001.87311440395,0.0
510,38,0.0,1,118913.53,1,False,True,False,False,0.10526315789473684,0.0,13.421052631578947,0.0,0.0,0,1,0,62001.87311440395,0.0
669,46,0.0,2,8487.75,0,False,False,True,True,0.06521739130434782,0.0,14.543478260869565,0.0,0.0,0,2,2,62001.87311440395,0.0
846,38,0.0,1,187616.16,0,False,False,False,True,0.13157894736842105,0.0,22.263157894736842,0.0,0.0,0,1,3,62001.87311440395,0.0
577,25,0.0,2,124508.29,0,False,False,True,True,0.12,0.0,23.08,0.0,0.0,0,0,1,62001.87311440395,0.0
756,36,136815.64,1,170041.95,0,True,False,True,True,0.05555555555555555,0.8045993356345302,21.0,136815.64,136815.64,1,1,3,119730.1161339179,1.142700303129849
571,44,0.0,2,38433.35,0,False,False,True,False,0.20454545454545456,0.0,12.977272727272727,0.0,0.0,0,1,1,62001.87311440395,0.0
574,43,141349.43,1,100187.43,0,True,False,False,True,0.06976744186046512,1.4108499439500544,13.348837209302326,141349.43,141349.43,1,1,1,119730.1161339179,1.1805670499968524
411,29,59697.17,2,53483.21,0,False,False,True,True,0.0,1.1161852476693153,14.172413793103448,29848.585,59697.17,1,0,0,62001.87311440395,0.9628284921303687
591,39,0.0,3,140469.38,1,False,True,False,False,0.07692307692307693,0.0,15.153846153846153,0.0,0.0,0,1,1,62001.87311440395,0.0
533,36,85311.7,1,156731.91,0,False,False,True,True,0.19444444444444445,0.5443160872600863,14.805555555555555,85311.7,85311.7,1,1,0,62001.87311440395,1.3759535916372312
553,41,110112.54,2,81898.81,0,True,False,True,False,0.21951219512195122,1.344494993272796,13.487804878048781,55056.27,0.0,1,1,1,119730.1161339179,0.9196728739228762
520,42,0.0,2,34410.55,0,False,True,False,True,0.14285714285714285,0.0,12.380952380952381,0.0,0.0,0,1,0,62001.87311440395,0.0
722,29,0.0,2,142033.07,0,False,True,False,True,0.3103448275862069,0.0,24.896551724137932,0.0,0.0,0,0,2,62001.87311440395,0.0
475,45,134264.04,1,27822.99,1,False,False,False,False,0.0,4.825651017378075,10.555555555555555,134264.04,0.0,1,1,0,62001.87311440395,2.165483609700954
490,31,145260.23,1,114066.77,0,False,True,True,True,0.0967741935483871,1.273466672195592,15.806451612903226,145260.23,145260.23,1,1,0,62001.87311440395,2.3428361548363275
804,33,76548.6,1,98453.45,0,False,True,True,True,0.21212121212121213,0.7775105900301108,24.363636363636363,76548.6,76548.6,1,1,3,62001.87311440395,1.23461753903394
850,36,0.0,1,40812.9,0,False,False,True,True,0.19444444444444445,0.0,23.61111111111111,0.0,0.0,0,1,3,62001.87311440395,0.0
582,41,70349.48,2,178074.04,0,True,False,True,True,0.14634146341463414,0.3950574716000153,14.195121951219512,35174.74,70349.48,1,1,1,119730.1161339179,0.5875671240585305
472,40,0.0,1,70154.22,0,False,True,True,False,0.1,0.0,11.8,0.0,0.0,0,1,0,62001.87311440395,0.0
465,51,122522.32,1,181297.65,1,False,False,False,False,0.1568627450980392,0.675807546319547,9.117647058823529,122522.32,0.0,1,2,0,62001.87311440395,1.9761067504190655
556,61,117419.35,1,94153.83,0,False,False,False,True,0.03278688524590164,1.2471011535059169,9.114754098360656,117419.35,117419.35,1,3,1,62001.87311440395,1.8938032691906168
834,49,131394.56,1,194365.76,1,False,False,False,False,0.04081632653061224,0.6760170104034784,17.020408163265305,131394.56,0.0,1,2,3,62001.87311440395,2.119203072422583
660,61,155931.11,1,158338.39,0,False,True,False,True,0.08196721311475409,0.9847966118639957,10.819672131147541,155931.11,155931.11,1,3,2,62001.87311440395,2.51494192300095
776,32,109421.13,2,126517.46,0,True,False,False,True,0.125,0.8648697974176844,24.25,54710.565,109421.13,1,1,3,119730.1161339179,0.9138981363520327
829,27,112045.67,1,119708.21,1,True,False,False,True,0.3333333333333333,0.9359898539958119,30.703703703703702,112045.67,112045.67,1,0,3,119730.1161339179,0.9358186028540818
637,39,137843.8,1,117622.8,1,True,False,False,True,0.23076923076923078,1.1719139486562127,16.333333333333332,137843.8,137843.8,1,1,1,119730.1161339179,1.15128761627377
550,38,103391.38,1,90878.13,0,True,False,True,True,0.05263157894736842,1.1376926439837616,14.473684210526315,103391.38,103391.38,1,1,0,119730.1161339179,0.863536955767728
776,37,103769.22,2,194099.12,0,True,False,False,False,0.05405405405405406,0.5346197344944171,20.972972972972972,51884.61,0.0,1,1,3,119730.1161339179,0.8666927198494849
698,44,116363.37,2,198059.16,0,True,False,True,False,0.22727272727272727,0.5875182445487499,15.863636363636363,58181.685,0.0,1,1,2,119730.1161339179,0.9718805406473322
585,36,146050.97,2,86424.57,0,True,False,True,False,0.1388888888888889,1.6899241731836212,16.25,73025.485,0.0,1,1,1,119730.1161339179,1.2198348645769481
788,33,0.0,2,116978.19,0,False,False,False,False,0.15151515151515152,0.0,23.87878787878788,0.0,0.0,0,1,3,62001.87311440395,0.0
655,41,125561.97,1,164040.94,1,True,False,True,False,0.1951219512195122,0.7654306906556375,15.975609756097562,125561.97,0.0,1,1,2,119730.1161339179,1.0487083288181163
601,42,98495.72,1,40014.76,1,True,False,True,False,0.023809523809523808,2.4614847121412198,14.30952380952381,98495.72,0.0,1,1,1,119730.1161339179,0.8226478281356775
619,43,125211.92,1,113410.49,0,False,False,True,True,0.023255813953488372,1.1040594216637278,14.395348837209303,125211.92,125211.92,1,1,1,62001.87311440395,2.0194860850246057
656,45,127864.4,1,87107.57,0,False,False,True,False,0.1111111111111111,1.4678907929586371,14.577777777777778,127864.4,0.0,1,1,2,62001.87311440395,2.0622667280401115
725,19,75888.2,1,45613.75,0,True,False,True,False,0.0,1.6637132443616234,38.1578947368421,75888.2,0.0,1,0,2,119730.1161339179,0.6338271643795885
511,66,0.0,1,1643.11,1,False,True,False,False,0.06060606060606061,0.0,7.742424242424242,0.0,0.0,0,3,0,62001.87311440395,0.0
614,51,40685.92,1,46775.28,0,False,False,True,True,0.0784313725490196,0.8698167066022907,12.03921568627451,40685.92,40685.92,1,2,1,62001.87311440395,0.6562046911861451
742,35,136857.0,1,84509.57,0,True,False,True,False,0.14285714285714285,1.619426060267494,21.2,136857.0,0.0,1,1,2,119730.1161339179,1.1430457467102573
687,27,152328.88,2,126494.82,0,True,False,False,False,0.3333333333333333,1.2042301811252034,25.444444444444443,76164.44,0.0,1,0,2,119730.1161339179,1.2722687066437024
555,33,56084.69,2,178798.13,0,False,True,True,False,0.030303030303030304,0.3136760434798731,16.818181818181817,28042.345,0.0,1,1,1,62001.87311440395,0.9045644459243072
684,56,78707.16,1,99398.36,0,False,True,True,True,0.14285714285714285,0.7918355997020474,12.214285714285714,78707.16,78707.16,1,2,2,62001.87311440395,1.2694319711079047
603,26,109166.37,1,92840.67,0,True,False,True,True,0.15384615384615385,1.17584642592519,23.192307692307693,109166.37,109166.37,1,0,1,119730.1161339179,0.9117703508939858
751,36,169831.46,2,27758.36,0,True,False,False,True,0.16666666666666666,6.1182094331221295,20.86111111111111,84915.73,169831.46,1,1,3,119730.1161339179,1.4184523116142629
